title,summary,link,tags,published,tipo da lei
Decreto Legislativo 1185/2025,"Concede a Medalha de Mérito José Mariano ao Ministro do Tribunal Superior do Trabalho (TST), Sr. Alberto Bastos Balazeiro",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1899,Decreto Legislativo,2025-04-01,ConcessaoMedalha
Decreto Legislativo 1184/2025,Concede o Título de Cidadão do Recife ao Publicitário Alexandre Keese Guarnelli.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1960,Decreto Legislativo,2025-04-01,ConcessaoTitulo
Decreto Legislativo 1183/2025,"Concede a Medalha José Mariano  ao Ilmº Sr. Julio César Gomes da Silva - o Babalorixá ""Júnior de Ajagunã""",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1898,Decreto Legislativo,2025-03-31,ConcessaoMedalha
Decreto Legislativo 1182/2024,Concede a Medalha de Mérito José Mariano ao Dr. Pedro Cerqueira Russo,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1959,Decreto Legislativo,2024-12-16,ConcessaoMedalha
Decreto Legislativo 1181/2024,Concede o Título de Cidadã do Recife à Sr.ª Regina Maria Barreto Casé.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1958,Decreto Legislativo,2024-12-16,ConcessaoTitulo
Decreto Legislativo 1180/2024,Título de Cidadão da Cidade do Recife ao Advogado Fernando Santos Júnior,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1957,Decreto Legislativo,2024-12-16,ConcessaoTitulo
Decreto Legislativo 1179/2024,Título de Cidadão da Cidade do Recife ao Sr. José Luís Simões,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1956,Decreto Legislativo,2024-12-16,ConcessaoTitulo
Decreto Legislativo 1178/2024,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO DESEMBARGADOR ANDRÉ VICENTE PIRES ROSA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1955,Decreto Legislativo,2024-12-16,ConcessaoTitulo
Decreto Legislativo 1177/2024,Concede o Título de Cidadão do Recife ao Sr. Tecio Teles.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1954,Decreto Legislativo,2024-11-04,ConcessaoTitulo
Decreto Legislativo 1176/2024,Concede a Medalha de Mérito José Mariano ao Sr. Luiz Augusto Correia de Araújo.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1878,Decreto Legislativo,2024-10-21,ConcessaoMedalha
Decreto Legislativo 1175/2024,Concede o Título de Cidadão do Recife ao cantor Thiago André Barbosa (Thiaguinho).,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1865,Decreto Legislativo,2024-09-16,ConcessaoTitulo
Decreto Legislativo 1174/2024,Concede a Medalha de Mérito José Mariano ao Professor Doutor Evanildo Bechara.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1864,Decreto Legislativo,2024-09-09,ConcessaoMedalha
Decreto Legislativo 1173/2024,Concede o Título de Cidadã do Recife a Procuradora Municipal Flávia Castanheira do Nascimento.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1863,Decreto Legislativo,2024-09-09,ConcessaoTitulo
Decreto Legislativo 1172/2024,Concede o Título de Cidadão do Recife ao empresário Edmilson de Sá.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1850,Decreto Legislativo,2024-09-09,ConcessaoTitulo
Decreto Legislativo 1171/2024,Concede a Medalha de Mérito José Mariano ao Sr. Romero Maranhão Filho.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1848,Decreto Legislativo,2024-07-01,ConcessaoMedalha
Decreto Legislativo 1170/2024,Concede o Título de Cidadã do Recife à Médica Dra. Maria de Fátima de Medeiros Brito.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1847,Decreto Legislativo,2024-07-02,ConcessaoTitulo
Decreto Legislativo 1169/2024,"Concede a Medalha de Mérito José Mariano ao Engenheiro Civil, Dr. Alexandre Duarte Gusmão.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1846,Decreto Legislativo,2024-07-02,ConcessaoMedalha
Decreto Legislativo 1168/2024,Concede a Medalha de Mérito José Mariano ao Dr. José Maria Sultanum.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1708,Decreto Legislativo,2024-07-02,ConcessaoMedalha
Decreto Legislativo 1167/2024,Concede o Título de Cidadão do Recife a Maciel Salú.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1700,Decreto Legislativo,2024-07-01,ConcessaoTitulo
Decreto Legislativo 1166/2024,Concede a Medalha de Mérito José Mariano ao Centro Universitário Integrado de Saúde Amaury de Medeiros - CISAM.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1684,Decreto Legislativo,2024-07-02,ConcessaoMedalha
Decreto Legislativo 1165/2024,Concede a Medalha de Mérito Olegária Mariano à Pastora Siméa Meldrum.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1707,Decreto Legislativo,2024-06-11,ConcessaoMedalha
Decreto Legislativo 1164/2024,Concede o Título de Cidadão do Recife a Ailton Coelho de Ataíde Filho.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1698,Decreto Legislativo,2024-06-11,ConcessaoTitulo
Decreto Legislativo 1163/2024,Concede a Medalha de Mérito José Mariano ao Sr. Eduardo Henrique da Fonte de Albuquerque Silva.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1706,Decreto Legislativo,2024-06-11,ConcessaoMedalha
Decreto Legislativo 1162/2024,CONCEDE MEDALHA DE MÉRITO A SANDRA PERNAMBUCO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1703,Decreto Legislativo,2024-06-04,ConcessaoMedalha
Decreto Legislativo 1161/2024,Concede o Título de Cidadão do Recife ao Dr. Washington Luís Macêdo de Amorim.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1702,Decreto Legislativo,2024-06-04,ConcessaoTitulo
Decreto Legislativo 1160/2024,Concede o Título de Cidadão do Recife ao Sr. Luiz Gonzaga Patriota.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1704,Decreto Legislativo,2024-05-27,ConcessaoTitulo
Decreto Legislativo 1159/2024,Concede a Medalha de Mérito Olegária Mariano a  Luiza Batista Pereira.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1120,Decreto Legislativo,2024-05-20,ConcessaoMedalha
Decreto Legislativo 1158/2024,"Concede o Título de Cidadão do Recife ao Promotor de Justiça do Estado de Pernambuco, Maviael de Souza Silva.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1119,Decreto Legislativo,2024-05-20,ConcessaoTitulo
Decreto Legislativo 1157/2024,Concede o Título de Cidadão do Recife a Walber Steffano Costa Fernandes.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1118,Decreto Legislativo,2024-05-20,ConcessaoTitulo
Decreto Legislativo 1156/2024,Concede a Medalha de Mérito José Mariano ao Movimento Nacional da População em Situação de Rua,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1117,Decreto Legislativo,2024-05-20,ConcessaoMedalha
Decreto Legislativo 1155/2024,Concede a Medalha de Mérito José Mariano ao Sr. Antonio Carlos da Silva Mendes.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1116,Decreto Legislativo,2024-05-20,ConcessaoMedalha
Decreto Legislativo 1154/2024,Concede o Título de Cidadão do Recife ao Sr. Manoel Deodoro Liberalquino Ferreira.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1695,Decreto Legislativo,2024-05-20,ConcessaoTitulo
Decreto Legislativo 1153/2024,Concede a Medalha de Mérito José Mariano ao Sr. Fábio Schwambach,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1693,Decreto Legislativo,2024-05-20,ConcessaoMedalha
Decreto Legislativo 1152/2024,Concede o Título de Cidadã Recifense a Gleisi Helena Hoffmann.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1696,Decreto Legislativo,2024-05-20,ConcessaoTitulo
Decreto Legislativo 1151/2024,"Concede o Título de Cidadão do Recife ao Sr. José Severino de Arruda, “Padre Biu de Arruda”.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1121,Decreto Legislativo,2024-05-13,ConcessaoTitulo
Decreto Legislativo 1150/2024,Concede o Título de Cidadã do Recife a Irmã Jucilene de Souza.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=834,Decreto Legislativo,2024-05-06,ConcessaoTitulo
Decreto Legislativo 1149/2024,Concede o Título de Cidadão do Recife a Lindenberg Silva de Lira Borba por relevantes serviços prestados à sociedade recifense.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=835,Decreto Legislativo,2024-05-06,ConcessaoTitulo
Decreto Legislativo 1148/2024,Concede o Título de Cidadão do Recife ao Sr. Severino Marcos de Oliveira Carneiro.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=837,Decreto Legislativo,2024-05-06,ConcessaoTitulo
