title,summary,link,tags,published,tipo da lei
Decreto Legislativo 824/2017,CONCEDE O TÍTULO DE “CIDADÃO DO RECIFE” AO SR. ADALBERTO DE OLIVEIRA MELO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1257,Decreto Legislativo,2017-11-27,ConcessaoTitulo
Decreto Legislativo 823/2017,DISPÕE SOBRE A CONCESSÃO DA MEDALHA DE MÉRITO JOSÉ MARIANO AO MÉDICO ELIÉZER RUSHANSKY.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1305,Decreto Legislativo,2017-11-21,ConcessaoMedalha
Decreto Legislativo 822/2017,DISPÕE SOBRE A CONCESSÃO DA MEDALHA DE MÉRITO “JOSÉ MARIANO” AO JUIZ JOÃO JOSÉ ROCHA TARGINO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1296,Decreto Legislativo,2017-11-21,ConcessaoMedalha
Decreto Legislativo 821/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO SR. RICARDO COIMBRA DE ALMEIDA BRENNAND.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1301,Decreto Legislativo,2017-11-13,ConcessaoTitulo
Decreto Legislativo 820/2017,"CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO JOGADOR DE FUTEBOL DO SANTA CRUZ FUTEBOL CLUBE, DR. EDINALDO BATISTA LIBÂNIO, MAIS CONHECIDO COMO GRAFITE.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1259,Decreto Legislativo,2017-11-13,ConcessaoTitulo
Decreto Legislativo 819/2017,"CONCEDE O TÍTULO DE CIDADÃO DE RECIFE AO ESCRITOR, JORNALISTA, CRÍTICO LITERÁRIO E DOCUMENTARISTA MAURÍCIO MELO JÚNIOR.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1256,Decreto Legislativo,2017-10-31,ConcessaoTitulo
Decreto Legislativo 818/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO SR. MARINALDO JOSÉ PEIXOTO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1240,Decreto Legislativo,2017-10-31,ConcessaoTitulo
Decreto Legislativo 817/2017,CONCEDE A MEDALHA DE MÉRITO JOSÉ MARIANO À RÁDIO MARANATA FM.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1262,Decreto Legislativo,2017-10-02,ConcessaoMedalha
Decreto Legislativo 816/2017,DISPÕE SOBRE A CONCESSÃO DO TÍTULO DE “CIDADÃO DO RECIFE” AO SR. PAULO DE MÉLO E LIMA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1260,Decreto Legislativo,2017-10-02,ConcessaoTitulo
Decreto Legislativo 815/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO PASTOR EBENÉZER NUNES DA SILVA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1254,Decreto Legislativo,2017-10-02,ConcessaoTitulo
Decreto Legislativo 814/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO SR. ADÊNIO CARNEIRO VILELA JUNIOR,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1253,Decreto Legislativo,2017-10-02,ConcessaoTitulo
Decreto Legislativo 813/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO JORNALISTA E RADIALISTA ALDO VILELA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1233,Decreto Legislativo,2017-10-02,ConcessaoTitulo
Decreto Legislativo 812/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO PASTOR SILAS LIMA MALAFAIA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1065,Decreto Legislativo,2017-10-02,ConcessaoTitulo
Decreto Legislativo 811/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO SR. CARLOS AUGUSTO LOPES DA COSTA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1069,Decreto Legislativo,2017-09-19,ConcessaoTitulo
Decreto Legislativo 810/2017,CONCEDE O TITULO DE CIDADÃO DO RECIFE AO SR. CARLOS ROBERTO WIZARD MARTINS.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1238,Decreto Legislativo,2017-09-11,ConcessaoTitulo
Decreto Legislativo 809/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO EMPRESÁRIO YVES NOGUEIRA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1090,Decreto Legislativo,2017-09-11,ConcessaoTitulo
Decreto Legislativo 808/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO BISPO WILLIAM BRÍGIDO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1084,Decreto Legislativo,2017-09-11,ConcessaoTitulo
Decreto Legislativo 807/2017,CONCEDE A MEDALHA DE MÉRITO JOSÉ MARIANO À QUADRILHA JUNINA EVOLUÇÃO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1087,Decreto Legislativo,2017-08-28,ConcessaoMedalha
Decreto Legislativo 806/2017,CONCEDE O TÍTULO DE “CIDADÃO DO RECIFE” À CANTORA E COMPOSITORA TEREZINHA BEZERRA CHAVES (TEREZINHA DO ACORDEON).,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1080,Decreto Legislativo,2017-08-28,ConcessaoTitulo
Decreto Legislativo 805/2017,CONCEDE A MEDALHA DE MÉRITO JOSÉ MARIANO AO PROFESSOR PÓS-DOUTOR WILLAMES DE ALBUQUERQUE SOARES.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1046,Decreto Legislativo,2017-08-28,ConcessaoMedalha
Decreto Legislativo 804/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO CANTOR WESLEY OLIVEIRA DA SILVA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1047,Decreto Legislativo,2017-08-21,ConcessaoTitulo
Decreto Legislativo 803/2017,CONCEDE A MEDALHA DE MÉRITO JOSÉ MARIANO AO HOSPITAL DE AERONÁUTICA DE RECIFE-HARF.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1245,Decreto Legislativo,2017-08-21,ConcessaoTitulo
Decreto Legislativo 802/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO PROFESSOR HAYASHI KAWAMURA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1061,Decreto Legislativo,2017-08-08,ConcessaoTitulo
Decreto Legislativo 801/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE À DIRETORA DA ACCENTURE BRASIL FLAVIA PICOLO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1058,Decreto Legislativo,2017-08-08,ConcessaoTitulo
Decreto Legislativo 800/2017,CONCEDE O TÍTULO DE CIDADÃO RECIFENSE AO DR. ANTONOALDO GRANGEON TRANCOSO NEVES.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1054,Decreto Legislativo,2017-08-08,ConcessaoTitulo
Decreto Legislativo 799/2017,CONCEDE MEDALHA DE MÉRITO JOSÉ MARIANO À IGREJA EVANGÉLICA ASSEMBLEIA DE DEUS EM PERNAMBUCO (IEADPE).,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=893,Decreto Legislativo,2017-06-20,ConcessaoMedalha
Decreto Legislativo 798/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO SR. ADILSON GOMES SILVA,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=785,Decreto Legislativo,2017-06-20,ConcessaoTitulo
Decreto Legislativo 797/2017,DISPÕE SOBRE A CONCESSÃO DA MEDALHA DE MÉRITO JOSÉ MARIANO AO DESEMBARGADOR NILDO NERY.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=892,Decreto Legislativo,2017-05-29,ConcessaoMedalha
Decreto Legislativo 796/2017,CONCEDE A MEDALHA DE MÉRITO JOSÉ MARIANO AO SR. FRANCISCO AMÂNCIO DA SILVA – MAESTRO FORRÓ.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=847,Decreto Legislativo,2017-05-29,ConcessaoMedalha
Decreto Legislativo 795/2017,CONCEDE TÍTULO DE CIDADÃO DO RECIFE AO REVERENDO ABNER FERREIRA DE ASSIS.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=846,Decreto Legislativo,2017-05-29,ConcessaoTitulo
Decreto Legislativo 794/2017,CONDECE O TITULO DE CIDADÃ DO RECIFE A SRA. FABIANA ROBERTA RIBEIRO DE VASCONCELOS LUCENA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=889,Decreto Legislativo,2017-05-23,ConcessaoTitulo
Decreto Legislativo 793/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO JORNALISTA E ESCRITOR CÍCERO BELMAR.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=888,Decreto Legislativo,2017-05-26,ConcessaoTitulo
Decreto Legislativo 792/2017,CONCEDE O TÍTULO DE CIDADÃ DO RECIFE A SR.ª PATRÍCIA GONÇALVES DOS SANTOS.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=845,Decreto Legislativo,2017-05-02,ConcessaoTitulo
Decreto Legislativo 791/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO SR. DELMIRO DANTAS CAMPOS NETO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=844,Decreto Legislativo,2017-05-02,ConcessaoTitulo
Decreto Legislativo 790/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO PRESIDENTE INTERNACIONAL DA SOCIEDADE SÃO VICENTE DE PAULO (SSVP) RENATO LIMA DE OLIVEIRA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=890,Decreto Legislativo,2017-04-25,ConcessaoTitulo
Decreto Legislativo 789/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO SR. DR. PIERRE LUCENA RABONI.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=838,Decreto Legislativo,2017-04-15,ConcessaoTitulo
Decreto Legislativo 788/2017,EMENTA: CONCEDE TÍTULO DE CIDADÃO DO RECIFE A PAULO RUBEM SANTIAGO FERREIRA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=831,Decreto Legislativo,2017-04-25,ConcessaoTitulo
Decreto Legislativo 787/2017,CONCEDE MEDALHA DO MÉRITO JOSÉ MARIANO AO FREI ALOÍSIO FRAGOSO DE MORAIS.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=825,Decreto Legislativo,2017-04-25,ConcessaoMedalha
Decreto Legislativo 786/2017,CONCEDE A MEDALHA JOSÉ MARIANO AO CANTOR PETRÚCIO AMORIM.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=826,Decreto Legislativo,2017-04-10,ConcessaoMedalha
Decreto Legislativo 785/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO MINISTRO DEMÓCRITO RAMOS REINALDO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=790,Decreto Legislativo,2017-04-05,ConcessaoTitulo
Decreto Legislativo 784/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO DELEGADO DE POLÍCIA CIVIL ESPECIAL ADEMAR CÂNDIDO DE OLIVEIRA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=783,Decreto Legislativo,2017-04-05,ConcessaoTitulo
Decreto Legislativo 783/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO SR.JAIME AMORIM.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=829,Decreto Legislativo,2017-04-05,ConcessaoTitulo
Decreto Legislativo 782/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO DR. ENIO DANIEL RIBEIRO KOCH.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=840,Decreto Legislativo,2017-03-20,ConcessaoTitulo
Decreto Legislativo 781/2017,CONCEDE A MEDALHA DE MÉRITO JOSÉ MARIANO AO HOSPITAL MILITAR DE ÁREA DE RECIFE - HMAR.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=839,Decreto Legislativo,2017-03-20,ConcessaoTitulo
Decreto Legislativo 780/2017,"CONCEDE TÍTULO DE CIDADÃO DO RECIFE, AO PASTOR CLEITON COLLINS.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=787,Decreto Legislativo,2017-03-20,ConcessaoTitulo
Decreto Legislativo 779/2017,CONCEDE A MEDALHA DO MÉRITO JOSÉ MARIANO AO ADVOGADO E PROFESSOR HELENO TAVEIRA TÔRRES.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=786,Decreto Legislativo,2017-03-20,ConcessaoMedalha
Decreto Legislativo 778/2017,CONCEDE TÍTULO DE CIDADÃO DO RECIFE AO PASTOR AURIVAN MARINHO DA COSTA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=774,Decreto Legislativo,2017-03-20,ConcessaoTitulo
Decreto Legislativo 776/2017,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO SR. SEVERINO PEREIRA LEITE JÚNIOR.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=791,Decreto Legislativo,2017-03-13,ConcessaoTitulo
Decreto Legislativo 775/2017,CONCEDE A MEDALHA DO MÉRITO JOSÉ MARIANO À MÉDICA PEDIATRA DOUTORA VERA LOPES.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=789,Decreto Legislativo,2017-03-13,ConcessaoMedalha
Decreto Legislativo 774/2017,CONCEDE O TÍTULO DE CIDADÃ RECIFENSE À ADRIANA FALANGOLA BENJAMIN - DONA DIDI - ARTISTA DO CINEMA MUDO NO BRASIL.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=830,Decreto Legislativo,2017-03-08,ConcessaoTitulo
Decreto Legislativo 773/2017,"AUTORIZA O SENHOR GERALDO JÚLIO DE MELLO FILHO, PREFEITO DA CIDADE DO RECIFE, A SE AUSENTAR DO PAÍS NO PERÍODO DE 18 À 21 DE MARÇO DO CORRENTE EXERCÍCIO.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=842,Decreto Legislativo,2017-02-22,AutorizacaoAusencia
Decreto Legislativo 772/2017,"CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO SR. MARCELLO DINIZ CORDEIRO, SUPERINTENDENTE REGIONAL DA POLÍCIA FEDERAL NO ESTADO DE PERNAMBUCO.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=836,Decreto Legislativo,2017-02-20,ConcessaoTitulo
Decreto Legislativo 771/2017,CONCEDE MEDALHA DO MÉRITO JOSÉ MARIANO AO SR. ROBERTO GUSMÃO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=833,Decreto Legislativo,2017-02-20,ConcessaoMedalha
Decreto Legislativo 770/2016,CONCEDE A MEDALHA JOSÉ MARIANO AO DR. ANGELO RAFAEL FERREIRA DOS SANTOS.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=784,Decreto Legislativo,2016-12-20,ConcessaoMedalha
Decreto Legislativo 769/2016,"CONCEDE A MEDALHA DE MÉRITO JOSÉ MARIANO À ORQUESTRA CRIANÇA CIDADÃ, REPRESENTADA PELO JUIZ DE DIREITO JOÃO JOSÉ ROCHA TARGINO - IDEALIZADOR E COORDENADOR GERAL.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=779,Decreto Legislativo,2016-12-13,ConcessaoMedalha
Decreto Legislativo 768/2016,DISPÕE SOBRE A CONCESSÃO DA MEDALHA DE MÉRITO “JOSÉ MARIANO” À COMENDADORA CHEF ERILENE MONTEIRO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=778,Decreto Legislativo,2016-12-13,ConcessaoMedalha
Decreto Legislativo 767/2016,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO PRESIDENTE NACIONAL DO PARTIDO REPUBLICANO PROGRESSISTA (PRP) OVASCO ROMA ALTIMARI RESENDE,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=777,Decreto Legislativo,2016-12-13,ConcessaoTitulo
Decreto Legislativo 766/2016,CONCEDE A MEDALHA DO MÉRITO JOSÉ MARIANO AO PASTOR ROBERTO JOSÉ DOS SANTOS.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=764,Decreto Legislativo,2016-12-13,ConcessaoMedalha
Decreto Legislativo 765/2016,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO DR. JAILSON DE BARROS CORREIA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=773,Decreto Legislativo,2016-11-28,ConcessaoTitulo
Decreto Legislativo 764/2016,CONCEDE A MEDALHA DE MÉRITO JOSÉ MARIANO AO DR. VICENTE ANDRÉ GOMES,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=782,Decreto Legislativo,2016-11-23,ConcessaoMedalha
Decreto Legislativo 763/2016,CONCEDE O TÍTULO DE CIDADÃ DO RECIFE A SRA. MARIA APARECIDA PEDROSA BEZERRA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=781,Decreto Legislativo,2016-11-23,ConcessaoTitulo
Decreto Legislativo 762/2016,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO SR. ALFREDO JOSÉ DE SANTANA FILHO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=780,Decreto Legislativo,2016-11-22,ConcessaoTitulo
Decreto Legislativo 761/2016,CONCEDE A MEDALHA DE MÉRITO JOSÉ MARIANO AO PROCURADOR DO MINISTÉRIO PÚBLICO DO TRABALHO EM PERNAMBUCO (MPT/PE) DR. LEONARDO OSÓRIO MENDONÇA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=776,Decreto Legislativo,2016-11-22,ConcessaoMedalha
Decreto Legislativo 760/2016,CONCEDE A MEDALHA DO MÉRITO JOSÉ MARIANO AO LÍDER HUMANITÁRIO SRI SRI RAVI SHANKAR.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=775,Decreto Legislativo,2016-11-21,ConcessaoMedalha
Decreto Legislativo 759/2016,"CONCEDE A MEDALHA DE MÉRITO JOSÉ MARIANO À ASSOCIAÇÃO DOS SERVIDORES DA PREFEITURA DA CIDADE RECIFE – ASPCRE, REPRESENTADA PELO SR. CARLOS LUIZ DA SILVA – PRESIDENTE.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=766,Decreto Legislativo,2016-11-21,ConcessaoTitulo
Decreto Legislativo 758/2016,CONCEDE O TÍTULO DE CIDADÃ DO RECIFE À JORNALISTA CARMEM DOLORES PEIXOTO SANTANA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=762,Decreto Legislativo,2016-11-21,ConcessaoTitulo
Decreto Legislativo 757/2016,CONCEDE O TÍTULO DE CIDADÃO RECIFE AO MÉDICO RILDO VALENÇA SARAIVA DE MELLO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=767,Decreto Legislativo,2016-10-10,ConcessaoTitulo
Decreto Legislativo 756/2016,CONCEDE A MEDALHA DO MÉRITO JOSÉ MARIANO À ALIANÇA DE MÃES E FAMÍLIAS RARAS (AMAR) DO RECIFE.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=760,Decreto Legislativo,2016-10-10,ConcessaoTitulo
Decreto Legislativo 755/2016,CONCEDE TÍTULO DE CIDADÃO DO RECIFE AO FREI DENNYS PIMENTEL.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=759,Decreto Legislativo,2016-10-10,ConcessaoTitulo
Decreto Legislativo 754/2016,"CONCEDE A MEDALHA DO MÉRITO JOSÉ MARIANO A SEBASTIÃO DE ARAÚJO BARRETO CAMPELLO, PRESIDENTE DO MOVIMENTO PRÓ-CRIANÇA.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=756,Decreto Legislativo,2016-10-10,ConcessaoMedalha
Decreto Legislativo 753/2016,CONCEDE A MEDALHA DE MÉRITO JOSÉ MARIANO AO GRANDE ORIENTE DE PERNAMBUCO EM HOMENAGEM AOS SEUS 90 ANOS.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=716,Decreto Legislativo,2016-10-10,ConcessaoMedalha
Decreto Legislativo 752/2016,CONCEDE O TÍTULO DE PATRIMÔNIO CIENTÍFICO TECNOLÓGICO DO RECIFE À EMPRESA EPITRACK.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=707,Decreto Legislativo,2016-10-10,ConcessaoTitulo
Decreto Legislativo 751/2016,CONCEDE A MEDALHA DO MÉRITO JOSÉ MARIANO À BAILARINA AMANDA PEREIRA DE LIMA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=708,Decreto Legislativo,2016-08-29,ConcessaoMedalha
Decreto Legislativo 750/2016,CONCEDE A MEDALHA DO MÉRITO JOSÉ MARIANO AO EMPRESÁRIO E ARTISTA ARLINDO PEREIRA DA SILVA ARLINDO CROSS.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=713,Decreto Legislativo,2016-08-29,ConcessaoMedalha
Decreto Legislativo 749/2016,CONCEDE A MEDALHA JOSÉ MARIANO À APAE/RECIFE‒ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=714,Decreto Legislativo,2016-08-29,ConcessaoTitulo
Decreto Legislativo 748/2016,CONCEDE A MEDALHA DO MÉRITO JOSÉ MARIANO AO DESEMBARGADOR ANTÔNIO CARLOS ALVES DA SILVA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=705,Decreto Legislativo,2016-08-29,ConcessaoMedalha
Decreto Legislativo 747/2016,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO DR. DJALMA JOSÉ GONÇALVES RAPOSO.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=710,Decreto Legislativo,2016-08-29,ConcessaoTitulo
Decreto Legislativo 746/2016,CONCEDE O TÍTULO DE CIDADÃO RECIFENSE AO JORNALISTA JOSÉ EVALDO COSTA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=715,Decreto Legislativo,2016-08-29,ConcessaoTitulo
Decreto Legislativo 745/2016,CONCEDE A MEDALHA JOSÉ MARIANO AO SR.NICOLA PEDULLA JÚNIOR.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=711,Decreto Legislativo,2016-08-29,ConcessaoMedalha
Decreto Legislativo 744/2016,CONCEDE A MEDALHA JOSÉ MARIANO AO SR. PETRUS LEONARDO DE SOUZA .,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=712,Decreto Legislativo,2016-08-29,ConcessaoMedalha
Decreto Legislativo 743/2016,CONCEDE A MEDALHA JOSÉ MARIANO À IGREJA UNIVERSAL DO REINO DE DEUS.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=709,Decreto Legislativo,2016-07-04,ConcessaoMedalha
Decreto Legislativo 742/2016,CONCEDE A MEDALHA DO MÉRITO JOSÉ MARIANO AO GRUPO JCPM.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=706,Decreto Legislativo,2016-07-04,ConcessaoMedalha
Decreto Legislativo 741/2016,CONCEDE A MEDALHA DO MÉRITO JOSÉ MARIANO AO EMPREENDEDOR SOCIAL FABIO SILVA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=700,Decreto Legislativo,2016-07-04,ConcessaoMedalha
Decreto Legislativo 740/2016,CONCEDE MEDALHA DO MÉRITO JOSÉ MARIANO AO DR. MAURÍCIO RANDS COELHO BARROS.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=696,Decreto Legislativo,2016-06-27,ConcessaoMedalha
Decreto Legislativo 739/2016,"CONCEDE TÍTULO CIDADÃO DO RECIFE AO JORNALISTA, CANTOR E COMPOSITOR FRED RODRIGUES MONTENEGRO FRED ZEROQUATRO, PELA SUA RELEVANTE CONTRIBUIÇÃO À CULTURA PERNAMBUCANA.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=664,Decreto Legislativo,2016-06-27,ConcessaoTitulo
Decreto Legislativo 738/2016,CONCEDE O TÍTULO DE CIDADÃO DO RECIFE AO DR. LEONARDO GOMES MENEZES.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=637,Decreto Legislativo,2016-06-27,ConcessaoTitulo
Decreto Legislativo 737/2016,DISPÕE SOBRE A CONCESSÃO DO TÍTULO DE CIDADÃO RECIFENSE AO SR. FRANCISCO FERREIRA ROCHA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=662,Decreto Legislativo,2016-05-31,ConcessaoTitulo
