titulo,link,ementa,materia_originaria,link_materia,autoria,situacao,titulo_normalizado
"Lei Ordinária nº 18191, de 14/12/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1513,"INSTITUI O DIA EM HOMENAGEM A ACESSIBILIDADE CULTURAL NO MUNICÍPIO DO RECIFE, E DÁ OUTRAS PROVIDÊNCIAS.",PLO 107/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=53218,Wanderson Florêncio,Em vigor,Lei Ordinária 18191/2015
"Lei Ordinária nº 18190, de 14/12/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1512,TORNA OBRIGATÓRIA A IMPRESSÃO DO CALENDÁRIO OFICIAL DE VACINAÇÃO NAS CONTRACAPAS DOS CADERNOS DISTRIBUÍDOS GRATUITAMENTE AOS ALUNOS DAS ESCOLAS DA REDE MUNICIPAL DE ENSINO DO RECIFE.,PLO 269/2013,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=37068,Estefano Menudo,Em vigor,Lei Ordinária 18190/2015
"Lei Ordinária nº 18189, de 14/12/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1511,"DISPÕE SOBRE O PROGRAMA DE MELHORIA HABITACIONAL, QUE TRATA DA REALIZAÇÃO DE MELHORIAS DE UNIDADES HABITACIONAIS, PARA PROMOÇÃO DA DIGNIDADE DA PESSOA HUMANA E DA FUNÇÃO SOCIAL DA CIDADE, DAQUELES QUE TÊM PERFIL SOCIOECONÔMICO PARA HABITAÇÃO DE INTERESSE SOCIAL, LOCALIZADAS NO MUNICÍPIO DE RECIFE.  ""REGIME DE URGÊNCIA""",PLE 49/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=56601,Prefeito do Recife,Em vigor,Lei Ordinária 18189/2015
"Lei Ordinária nº 18188, de 11/12/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1510,"DISPÕE SOBRE A REVISÃO DO PLANO PLURIANUAL 2014 – 2017, DO MUNICÍPIO DO RECIFE, PARA O EXERCÍCIO DE 2016.",PLE 22/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=55663,Prefeito do Recife,Em vigor,Lei Ordinária 18188/2015
"Lei Ordinária nº 18187, de 11/12/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1509,ESTIMA A RECEITA E FIXA A DESPESA DO MUNICÍPIO DO RECIFE PARA O EXERCÍCIO DE 2016.,PLE 21/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=55662,Prefeito do Recife,Em vigor,Lei Ordinária 18187/2015
"Lei Ordinária nº 18186, de 07/12/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1508,DISPÕE SOBRE A IMPLANTAÇÃO OBRIGATÓRIA DE SEMÁFOROS FUNCIONANDO À BASE DE ENERGIA SOLAR NA CIDADE DO RECIFE.,PLO 27/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=50503,Alfredo Santana,Em vigor,Lei Ordinária 18186/2015
"Lei Ordinária nº 18185, de 07/12/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1507,"OBRIGA OS HOSPITAIS, PRONTO-SOCORROS, CLÍNICAS MÉDICAS, CENTROS MÉDICOS E DE DIAGNÓSTICOS, LOCALIZADOS NA CIDADE DO RECIFE A COLOCAR “BANNERS” OU CARTAZES DIVULGANDO A POPULAÇÃO O NÚMERO DE TELEFONE, “SITE”, “E-MAIL” E ENDEREÇO DE CENTROS DE REMOÇÃO DE ÓRGÃOS, TECIDOS E PARTES DO CORPO HUMANO PARA FINS DE TRANSPLANTES E TRATAMENTO, E DÁ OUTRAS PROVIDÊNCIAS.",PLO 61/2013,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=31904,Aderaldo Pinto,Em vigor,Lei Ordinária 18185/2015
"Lei Ordinária nº 18184, de 07/12/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1506,INSTITUI O DIA MUNICIPAL DA EDUCAÇÃO NO ÂMBITO DO MUNICÍPIO DO RECIFE E DÁ OUTRAS PROVIDÊNCIAS.,PLO 6/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=49712,Isabella de Roldão,Em vigor,Lei Ordinária 18184/2015
"Lei Ordinária nº 18183, de 07/12/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1505,"DENOMINAR-SE-Á UPINHA GOVERNADOR EDUARDO CAMPOS, A UPINHA LOCALIZADA NA RUA JACOB, 160, MANGABEIRA, RECIFE - PE.",PLE 17/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=54380,Prefeito do Recife,Em vigor,Lei Ordinária 18183/2015
"Lei Ordinária nº 18182, de 07/12/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1504,"DISPÕE SOBRE A OBRIGATORIEDADE DE FARMÁCIAS E DROGARIAS MANTEREM A DISPOSIÇÃO DO PÚBLICO, PARA CONSULTA, LISTA DE MEDICAMENTOS GENÉRICOS EM CARACTERES BRAILLE, NO ÂMBITO DO MUNICÍPIO DO RECIFE.",PLO 246/2013,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=36536,Romerinho Jatobá,Em vigor,Lei Ordinária 18182/2015
"Lei Ordinária nº 18181, de 30/11/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1503,"INSTITUI O PROGRAMA DE PARCELAMENTO INCENTIVADO (PPI) – EM DIA COM A CIDADE, NO MUNICÍPIO DO RECIFE, E ALTERA DISPOSITIVOS DA LEI N.º 15.563, DE 27 DE DEZEMBRO DE 1991.  
""REGIME DE URGÊNCIA""",PLE 28/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=56580,Prefeito do Recife,Em vigor,Lei Ordinária 18181/2015
"Lei Ordinária nº 18180, de 25/11/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1502,"AUTORIZA A INSTITUIÇÃO DE FUNDO DE RESERVA DOS DEPÓSITOS JUDICIAIS E ADMINISTRATIVOS DESTINADO A GARANTIR A RESTITUIÇÃO DA PARCELA TRANSFERIDA À CONTA ÚNICA DO TESOURO, NOS TERMOS DO DISPOSTO NA LEI COMPLEMENTAR N.º 151, DE 5 DE AGOSTO DE 2015. ""REGIME DE URGÊNCIA""",PLE 26/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=56117,Prefeito do Recife,Em vigor,Lei Ordinária 18180/2015
"Lei Ordinária nº 18179, de 12/11/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1501,"DISPÕE SOBRE A OBRIGAÇÃO DE EXPOSIÇÃO, AOS CONSUMIDORES, DAS INSTALAÇÕES DAS COZINHAS DOS RESTAURANTES, HOTÉIS, MOTÉIS, BARES, LANCHONETES E SIMILARES SITUADOS NO ÂMBITO DO MUNICÍPIO E DÁ OUTRAS PROVIDÊNCIAS.",PLO 201/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=55565,Carlos Gueiros,Em vigor,Lei Ordinária 18179/2015
"Lei Ordinária nº 18178, de 28/10/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1500,INSTITUI O DIA 23 (VINTE E TRÊS) DE FEVEREIRO COMO O DIA MUNICIPAL DO DEFICIENTE AUDITIVO NO ÂMBITO DO MUNICÍPIO DO RECIFE.,PLO 60/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=51617,Isabella de Roldão,Em vigor,Lei Ordinária 18178/2015
"Lei Ordinária nº 18177, de 29/09/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1499,EMENTA: ALTERA A REDAÇÃO DO ARTIGO 3º DA LEI Nº 18.152/15.,PLO 181/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=55587,Comissão Executiva,Em vigor,Lei Ordinária 18177/2015
"Lei Ordinária nº 18175, de 28/10/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1498,"INSTITUI O PROGRAMA DE RECUPERAÇÃO FISCAL PARA O SETOR DE REGISTROS PÚBLICOS, CARTORÁRIOS E NOTARIAIS NO MUNICÍPIO DO RECIFE, E INTRODUZ ALTERAÇÕES NAS LEIS N.º 15.563, DE 27 DE DEZEMBRO DE 1991, E N.º 17.399, DE 28 DE DEZEMBRO DE 2007. ""REGIME DE URGÊNCIA""",PLE 19/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=54821,Prefeito do Recife,Em vigor,Lei Ordinária 18175/2015
