Nome,Endereço,Cidade,Estado,CEP,Telefone,Site,Atividades
TECHNE ENGENHEIROS CONSULTORES LTDA,"RUA ERNESTO DE PAULA SANTOS, 1368, CJ 904 BOA VIAGEM",RECIFE,PE,51021-330,81 3465-4144,,engenharia
TECHNIP BRASIL ENG INST E APOIO MARITIMOS S/A,"RUA DA GLORIA, 178, 1. AO 13 ANDAR GLORIA",RIO DE JANEIRO,RJ,20241-180,21 2139-7434,,engenharia;estudos e projetos;planejamento
TECNCON TEC DO CONCRETO E ENGENHARIA LTDA,"RUA CLEMENTE ROSAS, 371, TORRE",JOAO PESSOA,PB,58040-170,83 3222-1396,,engenharia;estudos e projetos
TECON TECNICA E CONSULTORIA LTDA,"RUA GANA 39, SALA 04 VILA ESPLANADA",PINHAIS,PR,83320-260,41 3338-6168,WWW.TECONTECNICA.COM.BR,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento;topografia
TEKNIKA PROJETOS E CONSULTORIA LTDA,"RUA BARAO DO BANANAL, 300, POMPEIA  raul@.br",SAO PAULO,SP,05024-000,11 3672-1657,teknika.com,engenharia;estudos e projetos
TEPAC ENGENHARIA TECNOLOGIA LTDA,"RUA DAS GAIVOTAS, 96, VILA CLORIS",BELO HORIZONTE,MG,31744-145,31 3459-1573,,engenharia;estudos e projetos;gerenciamento
TESTIN TECNOLOGIA DE MATERIAIS LTDA,"RUA MORGADO DE MATEUS 473, VILA MARIANA  – R 221",SAO PAULO,SP,04015-051,11 5575-3788,,controles tecnológicos
TETRA TECH CONSULTORIA LTDA,"RUA FIDALGA, 711, VILA MADALENA",SAO PAULO,SP,05432-070,11 3095-5050,WWW.TETRATECH.COM,engenharia;estudos e projetos
TEXTE ENGENHARIA E TECNOLOGIA LTDA,"RUA JOSE DOS SANTOS JUNIOR, 193, BROOKLIN PAULISTA",SAO PAULO,SP,04609-010,11 5566-5530,www.teste.com.br,controles tecnológicos;gerenciamento;inspeção
TEXTE ENGENHARIA E TECNOLOGIA LTDA,"RUA FERNANDO BANDEIRA, 107 A, MONTE CASTELO",PARNAMIRIM,RN,59161-303,84 3645-3240,,controles tecnológicos;engenharia;gerenciamento;inspeção
THEMAG ENGENHARIA E GERENCIAMENTO SC LTDA,"SCS QUADRA 01, BLOCO H 30, 1 E 2 ANDARES CENTRO  .br",BRASILIA,DF,70399-900,61 2217-5000,themag.com,arquitetura;engenharia;estudos e projetos;gerenciamento;inspeção;planejamento
THEMAG ENGENHARIA E GERENCIAMENTO SC LTDA,"RUA PEDRO AMERICO, 32, 22 AND CENTRO  .br",SAO PAULO,SP,01045-911,11 3353-1400,themag.com,arquitetura;engenharia;estudos e projetos;geotecnia;gerenciamento;paisagismo;planejamento
THENGE ENGENHARIA LTDA,"RUA DOM BOSCO, 871, SALAS 802 E 803 BOA VISTA",RECIFE,PE,50050-070,81 3423-3571,,engenharia;estudos e projetos;geotecnia;gerenciamento;topografia
TIME-NOW ENGENHARIA SA,"AV RIO BRANCO, 1383, PRAIA DO CANTO",VITORIA,ES,29055-643,27 3041-7194,WWW.TIMENOW.COM.BR,estudos e projetos;gerenciamento;inspeção;planejamento
TOMAS ROSA ENGENHARIA E ARQUITETURA LTDA,"RUA DR MARIO TOTTA, 714, 205 TRISTEZA",PORTO ALEGRE,RS,91920-130,51 3398-7798,WWW.HOMEOFFICEBRASIL.COM.BR,arquitetura;engenharia;estudos e projetos;inspeção;paisagismo;planejamento
TOPOCART TOPOGRAFIA ENG E AEROLEVANTAMENTOS SS LTD,"SDS BL L 30, SL 903 ED. MIGUEL BADYA ASA SUL",BRASILIA,DF,70394-901,61 3799-5000,,aerofotogrametria;arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;paisagismo;planejamento;topografia
TPF ENGENHARIA LTDA,"RUA IRENE RAMOS GOMES DE MATTOS 176, PINA",RECIFE,PE,51011-530,81 3316-0700,www.tpfengenharia.com.br,controles tecnológicos;engenharia;estudos e projetos;gerenciamento;inspeção;planejamento
TPF ENGENHARIA LTDA.,"Alameda Campinas, 579, 5º andar Jardim Paulista",São Paulo,SP,01404-100,11 3237-2580,www.tpfengenharia.com.br,arquitetura;engenharia;estudos e projetos;gerenciamento;planejamento;topografia
TRAFECON CONSULTORIA E PROJ DE ENGENHARIA,"RUA PEREIRA NUNES, 66, SL 301 TIJUCA",RIO DE JANEIRO,RJ,20511-120,21 2569-4660,,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
TRANSMAR CONSULTORIA E ENGENHARIA LTDA EPP,"AV JERONIMO MONTEIRO 490, SLS 211/212 CENTRO  .br",VITORIA,ES,29010-002,27 3289-0036,transmarconsultoria.com,arquitetura;engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
TRENTO ENGENHARIA LTDA.,Av. Luís Viana nº 6462  (71) 3012-1930,Salas 905 – 906 -907 – Edifício Wall Street East – Paralela Salvador,BA,41730-101,,www.trentoengenharia.com.br,arquitetura;paisagismo
TROPICAL ENGENHARIA SERVICOS E CONSULTORIA LTDA,SCN QUADRA 6,"BL0C0 A SALA 313, ASA NORTE – BRASILIA",DF,70716-900,61 3963-2713,WWW.TROPICALGROUP.COM.BR,engenharia;estudos e projetos;geotecnia
TSA – TECNOLOGIA DE SISTEMAS DE AUTOMACAO S/A,"AV BARAO HOMEM DE MELO 4324, 4 AND ESTORIL",BELO HORIZONTE,MG,30494-270,31 3055-5000,WWW.TSAENGENHARIA.COM.BR,engenharia;estudos e projetos;planejamento
UFC ENGENHARIA LTDA,"TRAV OSMAN LORDELO GUIMARAES, QD F 1034, LOTES 1 CENTRO",LAURO DE FREITAS,BA,42700-000,71 3797-2100,WWW.UFCENGENHARIA.COM.BR,arquitetura;engenharia;estudos e projetos;geotecnia;gerenciamento;topografia
UNICA CONSULTORES DE ENG URBANA SS,"RUA MIGUEL DAUX, 105, COQUEIROS",FLORIANOPOLIS,SC,88080-220,48 3244-1125,,engenharia;estudos e projetos
UNICA CONSULTORES DE ENG URBANA SS,"AV NSA SENHORA DOS NAVEGANTES 451, SL 1516 ENSEADA DO SUA",VITORIA,ES,29050-335,27 2123-0900,www.unicaconsultores.com.br,engenharia;estudos e projetos;gerenciamento
UNIDEC ENGENHARIA CONSULTIVA LTDA,"TRAVESSA GENOVA, 69, SALA ATUBA",COLOMBO,PR,83413-270,41 3675-7575,,engenharia;estudos e projetos
UNITEC ENGENHARIA CIVIL LTDA,"RUA FLAVIO UCHOA, 1886, CAMPOS ELISEOS",RIBEIRAO PRETO,SP,14085-600,16 3979-5050,www.unitecengenharia.com.br,controles tecnológicos;estudos e projetos;gerenciamento;planejamento
URBANA LOGISTICA AMBIENTAL DO BRASIL LTDA. – EPP,"DOS ANDRADAS 1001, SALA 902 CENTRO HISTORICO",PORTO ALEGRE,RS,90020-015,5136872166,,arquitetura;engenharia;estudos e projetos;gerenciamento;inspeção;planejamento;topografia
URBANIZA ENGENHARIA CONSULTIVA LTDA,"CALC ALDEBARA (CENTRO DE APOIO II) 180, ANDAR: 2; SALA: 212; ALPHAVILLE",SANTANA DE PARNAIBA,SP,06541-055,11 3060-6200,,arquitetura;engenharia;estudos e projetos;geotecnia;gerenciamento;paisagismo;planejamento;topografia
URBE CONSULTORIA E PROJETOS LTDA,"RUA RIO GRANDE DO NORTE, 1560, CJ 1006 FUNCIONARIOS",BELO HORIZONTE,MG,30130-131,31 3227-3416,www.urbeconsultoria.com.br,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;paisagismo;planejamento;topografia
URPLAN GRUPO DE PLANEJAMENTO URBANISMO ARQ,"RUA PRISCILA DUTRA, 541, CENTRO",LAURO DE FREITAS,BA,42000-00,71 3379-4663,,arquitetura;estudos e projetos;gerenciamento;paisagismo;planejamento
VELLETRI & ASSOCIADOS LTDA,"RUA ALVARO RODRIGUES, 152, CJ 111 VILA CORDEIRO",SAO PAULO,SP,04582-000,11 5536-0093,,engenharia
VETEC ENGENHARIA LTDA,SCS QD 07 BL A,"SL 1112, 11 ANDAR ASA SUL – BRASILIA",DF,70307-902,61 3036-3377,,engenharia;estudos e projetos;gerenciamento
VETEC ENGENHARIA LTDA,"RUA PADRE MARINHO, 455, 10 AND SANTA EFIGENIA",BELO HORIZONTE,MG,30140-040,31 3214-3489,,engenharia;estudos e projetos
VETEC ENGENHARIA LTDA,"RUA OLIMPIADAS, 100, 2 AND VILA OLIMPIA",SAO PAULO,SP,04551-000,11 3048-9300,WWW.VETEC.COM.BR,arquitetura;engenharia;estudos e projetos;gerenciamento;inspeção;planejamento
VITORIO & MELO PROJETOS ESTRUTURAS E CONSULTORIA L,"RUA JOSEPH TURTON, 35, AP 02  .br",1 AND TAMARINEIRA – RECIFE,PE,52051-110,81 3442-1588,vitorioemelo.com,engenharia;estudos e projetos;gerenciamento
VIZCA ENGENHARIA E CONSULTORIA LTDA,"RUA CLAUDIO SOARES, 72, CONJUNTO 310 PINHEIROS",SAO PAULO,SP,05422-030,11 3926-0969,WWW.VIZCA.COM.BR,engenharia;gerenciamento;planejamento
ZF & ENGENHEIROS ASSOCIADOS S/S,"RUA EMBAIXADOR LEAO VELOSO, 102, AGUA BRANCA",SAO PAULO,SP,05003-030,11 3873-2500,WWW.ZFSOLOS.COM.BR,arquitetura;engenharia;estudos e projetos;geotecnia
ZMC CONSULTORES SS LTDA EPP,"RUA MANUEL DA NOBREGA, 760, VILA MARIANA",SAO PAULO,SP,04001-002,11 3887-1598,,engenharia;estudos e projetos;gerenciamento
